Entropy,Critic Loss,Actor Loss
4.396992206573486,0.5109811425209045,-0.06107218936085701
4.394551753997803,0.7318390607833862,-0.05605516955256462
4.391428470611572,0.6596378087997437,-0.05490434914827347
4.3910675048828125,0.764764666557312,-0.05526477098464966
4.387503147125244,0.8372384309768677,-0.054776184260845184
4.379499435424805,0.6578039526939392,-0.055083394050598145
4.372174263000488,0.6284579038619995,-0.055462419986724854
4.361855506896973,1.0304673910140991,-0.054369308054447174
4.354698657989502,0.7847122550010681,-0.05388195812702179
4.350156784057617,0.7771374583244324,-0.052652109414339066
4.352089881896973,0.8101799488067627,-0.05373771861195564
4.350870609283447,0.7491165995597839,-0.05358290672302246
4.35462760925293,1.2146230936050415,-0.0518866702914238
4.348382472991943,0.8460613489151001,-0.053193990141153336
4.344588756561279,0.9491912722587585,-0.05258329212665558
4.347386360168457,0.906058132648468,-0.05178786814212799
4.343390464782715,0.9685332775115967,-0.052086569368839264
4.335846900939941,1.0904678106307983,-0.053237516433000565
4.33721923828125,1.0308194160461426,-0.051548488438129425
4.334426403045654,1.100282073020935,-0.051956064999103546
4.329720973968506,0.973848283290863,-0.05137155205011368
4.327171802520752,1.0280934572219849,-0.051441822201013565
4.318687915802002,1.1660717725753784,-0.050346557050943375
4.314077854156494,0.9779187440872192,-0.05036994069814682
4.307950973510742,0.9345163702964783,-0.05081389471888542
4.301479816436768,0.8150055408477783,-0.050418753176927567
4.293589115142822,0.999687671661377,-0.049994125962257385
4.2878618240356445,1.1108589172363281,-0.049466803669929504
4.286435604095459,1.4036240577697754,-0.04907173663377762
4.285237789154053,0.8504383563995361,-0.04901739954948425
4.289716720581055,1.1990363597869873,-0.04873631149530411
4.282008171081543,0.9057931303977966,-0.049996741116046906
4.276317596435547,1.134136438369751,-0.04907909035682678
4.276538848876953,1.2566920518875122,-0.048483069986104965
4.253933429718018,0.9381888508796692,-0.04739147424697876
4.232306003570557,1.1254044771194458,-0.048122406005859375
4.238590240478516,1.1594420671463013,-0.04822905361652374
4.233848571777344,1.0938612222671509,-0.046644601970911026
4.238714218139648,1.198817491531372,-0.04645290970802307
4.24140739440918,1.139555811882019,-0.047037456184625626
4.250166893005371,1.055283784866333,-0.04636921361088753
4.243439197540283,1.320336937904358,-0.045088645070791245
4.247435569763184,1.10089111328125,-0.04529071971774101
4.25642204284668,0.8815117478370667,-0.04505666717886925
4.243678092956543,1.126542091369629,-0.04428419843316078
4.247066497802734,1.1421540975570679,-0.04382586106657982
4.242676258087158,1.405534267425537,-0.043613433837890625
4.245038986206055,1.2197191715240479,-0.04335366189479828
4.247475624084473,1.1926403045654297,-0.04286500811576843
4.248762130737305,1.3492543697357178,-0.042518384754657745
